task,dataset,network_type,network_depth,network_activation,accuracy_pct,accuracy,loss,lr,global_step,datetime
elementwise_mul,random_pos,dense,1,tanh,43.0%,0.4342832,0.11583019,0.001,1000,2018-11-02 18:49:36
one_hot_sum,random_pos,dense,1,tanh,100.0%,0.996084,0.004355796,0.001,1000,2018-11-02 18:49:44
elementwise_add,random_pos,dense,1,tanh,67.0%,0.6657305,0.05734646,0.01,1000,2018-11-02 18:51:00
equality,random_pos,dense,1,tanh,100.0%,0.99961525,0.0016584215,0.01,200,2018-11-02 18:51:07
logical_and,random_pos,dense,1,tanh,100.0%,1.0,0.0029501237,0.01,1000,2018-11-02 18:51:18
logical_or,random_pos,dense,1,tanh,100.0%,1.0,0.0029867787,0.01,1000,2018-11-02 18:51:36
logical_xor,random_pos,dense,1,tanh,100.0%,0.99983984,0.0015118432,0.01,200,2018-11-02 18:51:47
reduce_sum,one_hot,dense,1,tanh,0.0%,0.0,1.0,1.0,1000,2018-11-02 18:55:16
reduce_max,one_hot,dense,1,tanh,100.0%,1.0,7.512632e-12,1.0,100,2018-11-02 18:55:35
concat,one_hot,dense,1,tanh,99.0%,0.9915713,0.010213423,0.0001,1000,2018-11-02 18:56:52
dot,one_hot,dense,1,tanh,99.0%,0.987,0.011312493,0.01,100,2018-11-02 19:00:20
elementwise_mul,one_hot,dense,1,tanh,100.0%,0.9996133,0.00061316264,0.01,100,2018-11-02 19:00:40
one_hot_sum,one_hot,dense,1,tanh,100.0%,0.9958574,0.004928728,0.001,300,2018-11-02 19:02:23
elementwise_add,one_hot,dense,1,tanh,100.0%,0.99946874,0.0005013394,0.01,1000,2018-11-02 19:04:26
equality,one_hot,dense,1,tanh,100.0%,0.99740624,0.0017705146,0.01,1000,2018-11-02 19:04:47
logical_and,one_hot,dense,1,tanh,100.0%,0.9995723,0.0009471812,0.01,100,2018-11-02 19:05:06
logical_or,one_hot,dense,1,tanh,100.0%,0.99957615,0.00037150897,0.01,1000,2018-11-02 19:05:28
logical_xor,one_hot,dense,1,tanh,100.0%,0.9996797,0.00046169563,0.01,1000,2018-11-02 19:05:49
reduce_sum,many_hot,dense,1,tanh,0.0%,0.0,16152.438,1.0,1000,2018-11-02 19:13:14
reduce_max,many_hot,dense,1,tanh,100.0%,1.0,0.0,1.0,100,2018-11-02 19:13:54
concat,many_hot,dense,1,tanh,100.0%,1.0,5.2899544e-05,0.0010000006,30000,2018-11-02 19:19:53
dot,many_hot,dense,1,tanh,0.0%,0.0,976.0885,100.0,1000,2018-11-02 19:27:41
elementwise_mul,many_hot,dense,1,tanh,11.0%,0.105904296,0.08201989,0.001,1000,2018-11-02 19:32:16
one_hot_sum,many_hot,dense,1,tanh,97.0%,0.97458005,0.005172556,0.0010000006,30000,2018-11-02 19:37:52
